,Runs_scored_batting,balls faced,4s_batting,6s_batting,strikerate,Num_matches_batted,Name,Born,Age,Batting_Style,Bowling_Style,Playing_Role,National_Team,player_img,career_start,career_latest,Overs,Maindens,runs_given_baller,wickets_baller,economy_baller,dot_balls_baller,4s_baller,6s_baller,wides_baller,NB_baller,Num_matches_bowled,catches,stumps,batting_average,Playing_Role_New,boundary_perc,Rank,Combined_Rank,Is_Captain
42,160.0,253.0,15.0,0.0,55.83041666666667,24.0,Adam Zampa,"March 31, 1992, Shellharbour, New South Wales",31y 126d,Right hand Bat,Legbreak Googly,Bowler,Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Adam_Zampa_2023.jpg/220px-Adam_Zampa_2023.jpg,2016,2023,465.0,7.0,2485.0,91.0,5.424230769230769,1255.0,165.0,51.0,28.0,2.0,52.0,16.0,0.0,6.666666666666667,Bowler,5.928853754940711,1.0,54.67374317521095,
43,224.0,280.0,15.0,6.0,75.10633333333334,30.0,Mitchell Starc,"January 30, 1990, Baulkham Hills, Sydney, New South Wales",33y 186d,Left hand Bat,Left arm Fast,Bowler,Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Mitchell_Starc_fielding_2021_%28cropped%29.jpg/220px-Mitchell_Starc_fielding_2021_%28cropped%29.jpg,2010,2023,384.5,16.0,2141.0,85.0,5.502142857142857,1324.0,218.0,38.0,98.0,3.0,42.0,38.0,0.0,7.466666666666667,Bowler,7.5,2.0,51.072698948461635,
44,196.0,259.0,12.0,2.0,61.43333333333333,30.0,Pat Cummins,"May 08, 1993, Westmead, Sydney",30y 88d,Right hand Bat,Right arm Fast,Bowler,Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/2018.01.21.14.55.22-Roy_c_Finch_b_Cummins-0001_%2840183230984%29_%28Cummins_cropped%29.jpg/220px-2018.01.21.14.55.22-Roy_c_Finch_b_Cummins-0001_%2840183230984%29_%28Cummins_cropped%29.jpg,2011,2023,347.4,31.0,1757.0,67.0,4.982820512820513,1252.0,176.0,30.0,75.0,6.0,39.0,19.0,0.0,6.533333333333333,Bowler,5.405405405405405,3.0,40.28027581948232,Yes
45,60.0,71.0,4.0,1.0,52.479285714285716,14.0,Josh Hazlewood,"January 08, 1991, Tamworth, New South Wales",32y 208d,Left hand Bat,Right arm Fast medium,Bowler,Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/2018.01.21.17.06.41-Hazelwood_%2839139885264%29.jpg/220px-2018.01.21.17.06.41-Hazelwood_%2839139885264%29.jpg,2010,2023,278.6,26.0,1239.0,44.0,4.323870967741935,1044.0,129.0,16.0,23.0,2.0,31.0,22.0,0.0,4.285714285714286,Bowler,7.042253521126761,4.0,26.49250969859743,
46,93.0,107.0,7.0,0.0,66.69999999999999,9.0,Jhye Richardson,"September 20, 1996, Murdoch, Western Australia",26y 318d,Right hand Bat,Right arm Fast,Bowler,Australia,,2017,2022,135.0,11.0,793.0,27.0,5.890666666666666,436.0,89.0,17.0,15.0,0.0,15.0,5.0,0.0,10.333333333333334,Bowler,6.5420560747663545,5.0,16.267904028972385,
47,45.0,42.0,5.0,2.0,95.09714285714287,7.0,Kane Richardson,"February 12, 1991, Eudunda, South Australia",32y 173d,Right hand Bat,Right arm Fast medium,Bowler,Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/2018.02.03.19.21.13-AUSvNZL_T20_NZL_innings%2C_SCG-0002_%2840429045331%29_%28cropped%29.jpg/220px-2018.02.03.19.21.13-AUSvNZL_T20_NZL_innings%2C_SCG-0002_%2840429045331%29_%28cropped%29.jpg,2013,2022,88.5,2.0,542.0,18.0,6.0840000000000005,258.0,64.0,5.0,11.0,0.0,10.0,7.0,0.0,6.428571428571429,Bowler,16.666666666666664,6.0,10.865746219592372,
48,260.0,297.0,24.0,3.0,80.16285714285713,14.0,Ashton Agar,"October 14, 1993, Melbourne, Victoria",29y 294d,Left hand Bat,Slow Left arm Orthodox,Bowler,Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/2018.02.03.20.31.23-AUSvNZL_T20_NZL_innings%2C_SCG-0002_%2838618210190%29_%28Agar_cropped%29.jpg/220px-2018.02.03.20.31.23-AUSvNZL_T20_NZL_innings%2C_SCG-0002_%2838618210190%29_%28Agar_cropped%29.jpg,2013,2023,144.0,4.0,736.0,16.0,5.124705882352941,409.0,49.0,15.0,6.0,0.0,17.0,10.0,0.0,18.571428571428573,Bowler,9.090909090909092,7.0,9.678053259871442,
49,21.0,23.0,0.0,0.0,88.88833333333334,6.0,Jason Behrendorff,"April 20, 1990, Camden, New South Wales",33y 106d,Right hand Bat,Left arm Fast medium,Bowler,Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Jason_behrendorff.jpg/220px-Jason_behrendorff.jpg,2017,2022,107.3,7.0,568.0,16.0,5.325,360.0,56.0,10.0,10.0,1.0,12.0,3.0,0.0,3.5,Bowler,0.0,8.0,9.675117370892018,
50,31.0,37.0,2.0,1.0,83.3325,8.0,Nathan Lyon,"November 20, 1987, Young, New South Wales",35y 257d,Right hand Bat,Right arm Offbreak,Bowler,Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Nathan_Lyon_%281%29.jpg/220px-Nathan_Lyon_%281%29.jpg,2011,2023,151.0,2.0,742.0,12.0,5.074375,436.0,43.0,15.0,5.0,0.0,16.0,7.0,0.0,3.875,Bowler,8.108108108108109,9.0,7.278827441803177,
51,16.0,14.0,3.0,0.0,87.5,2.0,Matthew Kuhnemann,"September 20, 1996",26y 318d,Left hand Bat,Slow Left arm Orthodox,Bowler,Australia,,2022,2023,38.0,3.0,191.0,6.0,5.125,113.0,20.0,0.0,2.0,0.0,4.0,2.0,0.0,8.0,Bowler,21.428571428571427,10.0,3.6780487804878046,
